return_type,parameter,releases_and_transfers,units
Pollution Inventory,Ruthenium 106,General,g
Pollution Inventory,Ruthenium 106,General,kg
Pollution Inventory,Ruthenium 106,General,kt
Pollution Inventory,Ruthenium 106,General,mg
Pollution Inventory,Ruthenium 106,General,t
Pollution Inventory,Ruthenium 106,Land,g
Pollution Inventory,Ruthenium 106,Land,kg
Pollution Inventory,Ruthenium 106,Land,kt
Pollution Inventory,Ruthenium 106,Land,mg
Pollution Inventory,Ruthenium 106,Land,t
Pollution Inventory,Ruthenium 106,Waste Overseas,g
Pollution Inventory,Ruthenium 106,Waste Overseas,kg
Pollution Inventory,Ruthenium 106,Waste Overseas,kt
Pollution Inventory,Ruthenium 106,Waste Overseas,mg
Pollution Inventory,Ruthenium 106,Waste Overseas,t
Pollution Inventory,Ruthenium 106,Waste Transfer,g
Pollution Inventory,Ruthenium 106,Waste Transfer,kg
Pollution Inventory,Ruthenium 106,Waste Transfer,kt
Pollution Inventory,Ruthenium 106,Waste Transfer,mg
Pollution Inventory,Ruthenium 106,Waste Transfer,t
Pollution Inventory,Ruthenium 106,Waste Water,g
Pollution Inventory,Ruthenium 106,Waste Water,kg
Pollution Inventory,Ruthenium 106,Waste Water,kt
Pollution Inventory,Ruthenium 106,Waste Water,mg
Pollution Inventory,Ruthenium 106,Waste Water,t
Pollution Inventory,Samarium 153,Air,g
Pollution Inventory,Samarium 153,Air,kg
Pollution Inventory,Samarium 153,Air,kt
Pollution Inventory,Samarium 153,Air,mg
Pollution Inventory,Samarium 153,Air,t
Pollution Inventory,Samarium 153,Controlled Water,g
Pollution Inventory,Samarium 153,Controlled Water,kg
Pollution Inventory,Samarium 153,Controlled Water,kt
Pollution Inventory,Samarium 153,Controlled Water,mg
Pollution Inventory,Samarium 153,Controlled Water,t
Pollution Inventory,Samarium 153,General,g
Pollution Inventory,Samarium 153,General,kg
Pollution Inventory,Samarium 153,General,kt
Pollution Inventory,Samarium 153,General,mg
Pollution Inventory,Samarium 153,General,t
Pollution Inventory,Samarium 153,Land,g
Pollution Inventory,Samarium 153,Land,kg
Pollution Inventory,Samarium 153,Land,kt
Pollution Inventory,Samarium 153,Land,mg
Pollution Inventory,Samarium 153,Land,t
Pollution Inventory,Samarium 153,Waste Overseas,g
Pollution Inventory,Samarium 153,Waste Overseas,kg
Pollution Inventory,Samarium 153,Waste Overseas,kt
Pollution Inventory,Samarium 153,Waste Overseas,mg
Pollution Inventory,Samarium 153,Waste Overseas,t
Pollution Inventory,Samarium 153,Waste Transfer,g
Pollution Inventory,Samarium 153,Waste Transfer,kg
Pollution Inventory,Samarium 153,Waste Transfer,kt
Pollution Inventory,Samarium 153,Waste Transfer,mg
Pollution Inventory,Samarium 153,Waste Transfer,t
Pollution Inventory,Samarium 153,Waste Water,g
Pollution Inventory,Samarium 153,Waste Water,kg
Pollution Inventory,Samarium 153,Waste Water,kt
Pollution Inventory,Samarium 153,Waste Water,mg
Pollution Inventory,Samarium 153,Waste Water,t
Pollution Inventory,Selenium,Air,g
Pollution Inventory,Selenium,Air,kg
Pollution Inventory,Selenium,Air,kt
Pollution Inventory,Selenium,Air,mg
Pollution Inventory,Selenium,Air,t
Pollution Inventory,Selenium,Controlled Water,g
Pollution Inventory,Selenium,Controlled Water,kg
Pollution Inventory,Selenium,Controlled Water,kt
Pollution Inventory,Selenium,Controlled Water,mg
Pollution Inventory,Selenium,Controlled Water,t
Pollution Inventory,Selenium,General,g
Pollution Inventory,Selenium,General,kg
Pollution Inventory,Selenium,General,kt
Pollution Inventory,Selenium,General,mg
Pollution Inventory,Selenium,General,t
Pollution Inventory,Selenium,Land,g
Pollution Inventory,Selenium,Land,kg
Pollution Inventory,Selenium,Land,kt
Pollution Inventory,Selenium,Land,mg
Pollution Inventory,Selenium,Land,t
Pollution Inventory,Selenium,Waste Overseas,g
Pollution Inventory,Selenium,Waste Overseas,kg
Pollution Inventory,Selenium,Waste Overseas,kt
Pollution Inventory,Selenium,Waste Overseas,mg
Pollution Inventory,Selenium,Waste Overseas,t
Pollution Inventory,Selenium,Waste Transfer,g
Pollution Inventory,Selenium,Waste Transfer,kg
Pollution Inventory,Selenium,Waste Transfer,kt
Pollution Inventory,Selenium,Waste Transfer,mg
Pollution Inventory,Selenium,Waste Transfer,t
Pollution Inventory,Selenium,Waste Water,g
Pollution Inventory,Selenium,Waste Water,kg
Pollution Inventory,Selenium,Waste Water,kt
Pollution Inventory,Selenium,Waste Water,mg
Pollution Inventory,Selenium,Waste Water,t
Pollution Inventory,Selenium 75,Air,g
Pollution Inventory,Selenium 75,Air,kg
Pollution Inventory,Selenium 75,Air,kt
Pollution Inventory,Selenium 75,Air,mg
Pollution Inventory,Selenium 75,Air,t
Pollution Inventory,Selenium 75,Controlled Water,g
Pollution Inventory,Selenium 75,Controlled Water,kg
Pollution Inventory,Selenium 75,Controlled Water,kt
Pollution Inventory,Selenium 75,Controlled Water,mg
Pollution Inventory,Selenium 75,Controlled Water,t
Pollution Inventory,Selenium 75,General,g
Pollution Inventory,Selenium 75,General,kg
Pollution Inventory,Selenium 75,General,kt
Pollution Inventory,Selenium 75,General,mg
Pollution Inventory,Selenium 75,General,t
Pollution Inventory,Selenium 75,Land,g
Pollution Inventory,Selenium 75,Land,kg
Pollution Inventory,Selenium 75,Land,kt
Pollution Inventory,Selenium 75,Land,mg
Pollution Inventory,Selenium 75,Land,t
Pollution Inventory,Selenium 75,Waste Overseas,g
Pollution Inventory,Selenium 75,Waste Overseas,kg
Pollution Inventory,Selenium 75,Waste Overseas,kt
Pollution Inventory,Selenium 75,Waste Overseas,mg
Pollution Inventory,Selenium 75,Waste Overseas,t
Pollution Inventory,Selenium 75,Waste Transfer,g
Pollution Inventory,Selenium 75,Waste Transfer,kg
Pollution Inventory,Selenium 75,Waste Transfer,kt
Pollution Inventory,Selenium 75,Waste Transfer,mg
Pollution Inventory,Selenium 75,Waste Transfer,t
Pollution Inventory,Selenium 75,Waste Water,g
Pollution Inventory,Selenium 75,Waste Water,kg
Pollution Inventory,Selenium 75,Waste Water,kt
Pollution Inventory,Selenium 75,Waste Water,mg
Pollution Inventory,Selenium 75,Waste Water,t
Pollution Inventory,Short chain (C10-13) chlorinated paraffins (SCCPs),Air,g
Pollution Inventory,Short chain (C10-13) chlorinated paraffins (SCCPs),Air,kg
Pollution Inventory,Short chain (C10-13) chlorinated paraffins (SCCPs),Air,kt
Pollution Inventory,Short chain (C10-13) chlorinated paraffins (SCCPs),Air,mg
Pollution Inventory,Short chain (C10-13) chlorinated paraffins (SCCPs),Air,t
Pollution Inventory,Short chain (C10-13) chlorinated paraffins (SCCPs),Controlled Water,g
Pollution Inventory,Short chain (C10-13) chlorinated paraffins (SCCPs),Controlled Water,kg
Pollution Inventory,Short chain (C10-13) chlorinated paraffins (SCCPs),Controlled Water,kt
Pollution Inventory,Short chain (C10-13) chlorinated paraffins (SCCPs),Controlled Water,mg
Pollution Inventory,Short chain (C10-13) chlorinated paraffins (SCCPs),Controlled Water,t
Pollution Inventory,Short chain (C10-13) chlorinated paraffins (SCCPs),General,g
Pollution Inventory,Short chain (C10-13) chlorinated paraffins (SCCPs),General,kg
Pollution Inventory,Short chain (C10-13) chlorinated paraffins (SCCPs),General,kt
Pollution Inventory,Short chain (C10-13) chlorinated paraffins (SCCPs),General,mg
Pollution Inventory,Short chain (C10-13) chlorinated paraffins (SCCPs),General,t
Pollution Inventory,Short chain (C10-13) chlorinated paraffins (SCCPs),Land,g
Pollution Inventory,Short chain (C10-13) chlorinated paraffins (SCCPs),Land,kg
Pollution Inventory,Short chain (C10-13) chlorinated paraffins (SCCPs),Land,kt
Pollution Inventory,Short chain (C10-13) chlorinated paraffins (SCCPs),Land,mg
Pollution Inventory,Short chain (C10-13) chlorinated paraffins (SCCPs),Land,t
Pollution Inventory,Short chain (C10-13) chlorinated paraffins (SCCPs),Waste Overseas,g
Pollution Inventory,Short chain (C10-13) chlorinated paraffins (SCCPs),Waste Overseas,kg
Pollution Inventory,Short chain (C10-13) chlorinated paraffins (SCCPs),Waste Overseas,kt
Pollution Inventory,Short chain (C10-13) chlorinated paraffins (SCCPs),Waste Overseas,mg
Pollution Inventory,Short chain (C10-13) chlorinated paraffins (SCCPs),Waste Overseas,t
Pollution Inventory,Short chain (C10-13) chlorinated paraffins (SCCPs),Waste Transfer,g
Pollution Inventory,Short chain (C10-13) chlorinated paraffins (SCCPs),Waste Transfer,kg
Pollution Inventory,Short chain (C10-13) chlorinated paraffins (SCCPs),Waste Transfer,kt
Pollution Inventory,Short chain (C10-13) chlorinated paraffins (SCCPs),Waste Transfer,mg
Pollution Inventory,Short chain (C10-13) chlorinated paraffins (SCCPs),Waste Transfer,t
Pollution Inventory,Short chain (C10-13) chlorinated paraffins (SCCPs),Waste Water,g
Pollution Inventory,Short chain (C10-13) chlorinated paraffins (SCCPs),Waste Water,kg
Pollution Inventory,Short chain (C10-13) chlorinated paraffins (SCCPs),Waste Water,kt
Pollution Inventory,Short chain (C10-13) chlorinated paraffins (SCCPs),Waste Water,mg
Pollution Inventory,Short chain (C10-13) chlorinated paraffins (SCCPs),Waste Water,t
Pollution Inventory,Simazine,Air,g
Pollution Inventory,Simazine,Air,kg
Pollution Inventory,Simazine,Air,kt
Pollution Inventory,Simazine,Air,mg
Pollution Inventory,Simazine,Air,t
Pollution Inventory,Simazine,Controlled Water,g
Pollution Inventory,Simazine,Controlled Water,kg
Pollution Inventory,Simazine,Controlled Water,kt
Pollution Inventory,Simazine,Controlled Water,mg
Pollution Inventory,Simazine,Controlled Water,t
Pollution Inventory,Simazine,General,g
Pollution Inventory,Simazine,General,kg
Pollution Inventory,Simazine,General,kt
Pollution Inventory,Simazine,General,mg
Pollution Inventory,Simazine,General,t
Pollution Inventory,Simazine,Land,g
Pollution Inventory,Simazine,Land,kg
Pollution Inventory,Simazine,Land,kt
Pollution Inventory,Simazine,Land,mg
Pollution Inventory,Simazine,Land,t
Pollution Inventory,Simazine,Waste Overseas,g
Pollution Inventory,Simazine,Waste Overseas,kg
Pollution Inventory,Simazine,Waste Overseas,kt
Pollution Inventory,Simazine,Waste Overseas,mg
Pollution Inventory,Simazine,Waste Overseas,t
Pollution Inventory,Simazine,Waste Transfer,g
Pollution Inventory,Simazine,Waste Transfer,kg
Pollution Inventory,Simazine,Waste Transfer,kt
Pollution Inventory,Simazine,Waste Transfer,mg
Pollution Inventory,Simazine,Waste Transfer,t
Pollution Inventory,Simazine,Waste Water,g
Pollution Inventory,Simazine,Waste Water,kg
Pollution Inventory,Simazine,Waste Water,kt
Pollution Inventory,Simazine,Waste Water,mg
Pollution Inventory,Simazine,Waste Water,t
Pollution Inventory,Sodium 22,Air,g
Pollution Inventory,Sodium 22,Air,kg
Pollution Inventory,Sodium 22,Air,kt
Pollution Inventory,Sodium 22,Air,mg
Pollution Inventory,Sodium 22,Air,t
Pollution Inventory,Sodium 22,Controlled Water,g
Pollution Inventory,Sodium 22,Controlled Water,kg
Pollution Inventory,Sodium 22,Controlled Water,kt
Pollution Inventory,Sodium 22,Controlled Water,mg
Pollution Inventory,Sodium 22,Controlled Water,t
Pollution Inventory,Sodium 22,General,g
Pollution Inventory,Sodium 22,General,kg
Pollution Inventory,Sodium 22,General,kt
Pollution Inventory,Sodium 22,General,mg
Pollution Inventory,Sodium 22,General,t
Pollution Inventory,Sodium 22,Land,g
Pollution Inventory,Sodium 22,Land,kg
Pollution Inventory,Sodium 22,Land,kt
Pollution Inventory,Sodium 22,Land,mg
Pollution Inventory,Sodium 22,Land,t
Pollution Inventory,Sodium 22,Waste Overseas,g
Pollution Inventory,Sodium 22,Waste Overseas,kg
Pollution Inventory,Sodium 22,Waste Overseas,kt
Pollution Inventory,Sodium 22,Waste Overseas,mg
Pollution Inventory,Sodium 22,Waste Overseas,t
Pollution Inventory,Sodium 22,Waste Transfer,g
Pollution Inventory,Sodium 22,Waste Transfer,kg
Pollution Inventory,Sodium 22,Waste Transfer,kt
Pollution Inventory,Sodium 22,Waste Transfer,mg
Pollution Inventory,Sodium 22,Waste Transfer,t
Pollution Inventory,Sodium 22,Waste Water,g
Pollution Inventory,Sodium 22,Waste Water,kg
Pollution Inventory,Sodium 22,Waste Water,kt
Pollution Inventory,Sodium 22,Waste Water,mg
Pollution Inventory,Sodium 22,Waste Water,t
Pollution Inventory,Strontium 89,Air,g
Pollution Inventory,Strontium 89,Air,kg
Pollution Inventory,Strontium 89,Air,kt
Pollution Inventory,Strontium 89,Air,mg
Pollution Inventory,Strontium 89,Air,t
Pollution Inventory,Strontium 89,Controlled Water,g
Pollution Inventory,Strontium 89,Controlled Water,kg
Pollution Inventory,Strontium 89,Controlled Water,kt
Pollution Inventory,Strontium 89,Controlled Water,mg
Pollution Inventory,Strontium 89,Controlled Water,t
Pollution Inventory,Strontium 89,General,g
Pollution Inventory,Strontium 89,General,kg
Pollution Inventory,Strontium 89,General,kt
Pollution Inventory,Strontium 89,General,mg
Pollution Inventory,Strontium 89,General,t
Pollution Inventory,Strontium 89,Land,g
Pollution Inventory,Strontium 89,Land,kg
Pollution Inventory,Strontium 89,Land,kt
Pollution Inventory,Strontium 89,Land,mg
Pollution Inventory,Strontium 89,Land,t
Pollution Inventory,Strontium 89,Waste Overseas,g
Pollution Inventory,Strontium 89,Waste Overseas,kg
Pollution Inventory,Strontium 89,Waste Overseas,kt
Pollution Inventory,Strontium 89,Waste Overseas,mg
Pollution Inventory,Strontium 89,Waste Overseas,t
Pollution Inventory,Strontium 89,Waste Transfer,g
Pollution Inventory,Strontium 89,Waste Transfer,kg
Pollution Inventory,Strontium 89,Waste Transfer,kt
Pollution Inventory,Strontium 89,Waste Transfer,mg
Pollution Inventory,Strontium 89,Waste Transfer,t
Pollution Inventory,Strontium 89,Waste Water,g
Pollution Inventory,Strontium 89,Waste Water,kg
Pollution Inventory,Strontium 89,Waste Water,kt
Pollution Inventory,Strontium 89,Waste Water,mg
Pollution Inventory,Strontium 89,Waste Water,t
Pollution Inventory,Strontium 90,Air,g
Pollution Inventory,Strontium 90,Air,kg
Pollution Inventory,Strontium 90,Air,kt
Pollution Inventory,Strontium 90,Air,mg
Pollution Inventory,Strontium 90,Air,t
Pollution Inventory,Strontium 90,Controlled Water,g
Pollution Inventory,Strontium 90,Controlled Water,kg
Pollution Inventory,Strontium 90,Controlled Water,kt
Pollution Inventory,Strontium 90,Controlled Water,mg
Pollution Inventory,Strontium 90,Controlled Water,t
Pollution Inventory,Strontium 90,General,g
Pollution Inventory,Strontium 90,General,kg
Pollution Inventory,Strontium 90,General,kt
Pollution Inventory,Strontium 90,General,mg
Pollution Inventory,Strontium 90,General,t
Pollution Inventory,Strontium 90,Land,g
Pollution Inventory,Strontium 90,Land,kg
Pollution Inventory,Strontium 90,Land,kt
Pollution Inventory,Strontium 90,Land,mg
Pollution Inventory,Strontium 90,Land,t
Pollution Inventory,Strontium 90,Waste Overseas,g
Pollution Inventory,Strontium 90,Waste Overseas,kg
Pollution Inventory,Strontium 90,Waste Overseas,kt
Pollution Inventory,Strontium 90,Waste Overseas,mg
Pollution Inventory,Strontium 90,Waste Overseas,t
Pollution Inventory,Strontium 90,Waste Transfer,g
Pollution Inventory,Strontium 90,Waste Transfer,kg
Pollution Inventory,Strontium 90,Waste Transfer,kt
Pollution Inventory,Strontium 90,Waste Transfer,mg
Pollution Inventory,Strontium 90,Waste Transfer,t
Pollution Inventory,Strontium 90,Waste Water,g
Pollution Inventory,Strontium 90,Waste Water,kg
Pollution Inventory,Strontium 90,Waste Water,kt
Pollution Inventory,Strontium 90,Waste Water,mg
Pollution Inventory,Strontium 90,Waste Water,t
Pollution Inventory,Sulphur 35,Air,g
Pollution Inventory,Sulphur 35,Air,kg
Pollution Inventory,Sulphur 35,Air,kt
Pollution Inventory,Sulphur 35,Air,mg
Pollution Inventory,Sulphur 35,Air,t
Pollution Inventory,Sulphur 35,Controlled Water,g
Pollution Inventory,Sulphur 35,Controlled Water,kg
Pollution Inventory,Sulphur 35,Controlled Water,kt
Pollution Inventory,Sulphur 35,Controlled Water,mg
Pollution Inventory,Sulphur 35,Controlled Water,t
Pollution Inventory,Sulphur 35,General,g
Pollution Inventory,Sulphur 35,General,kg
Pollution Inventory,Sulphur 35,General,kt
Pollution Inventory,Sulphur 35,General,mg
Pollution Inventory,Sulphur 35,General,t
Pollution Inventory,Sulphur 35,Land,g
Pollution Inventory,Sulphur 35,Land,kg
Pollution Inventory,Sulphur 35,Land,kt
Pollution Inventory,Sulphur 35,Land,mg
Pollution Inventory,Sulphur 35,Land,t
Pollution Inventory,Sulphur 35,Waste Overseas,g
Pollution Inventory,Sulphur 35,Waste Overseas,kg
Pollution Inventory,Sulphur 35,Waste Overseas,kt
Pollution Inventory,Sulphur 35,Waste Overseas,mg
Pollution Inventory,Sulphur 35,Waste Overseas,t
Pollution Inventory,Sulphur 35,Waste Transfer,g
Pollution Inventory,Sulphur 35,Waste Transfer,kg
Pollution Inventory,Sulphur 35,Waste Transfer,kt
Pollution Inventory,Sulphur 35,Waste Transfer,mg
Pollution Inventory,Sulphur 35,Waste Transfer,t
Pollution Inventory,Sulphur 35,Waste Water,g
Pollution Inventory,Sulphur 35,Waste Water,kg
Pollution Inventory,Sulphur 35,Waste Water,kt
Pollution Inventory,Sulphur 35,Waste Water,mg
Pollution Inventory,Sulphur 35,Waste Water,t
Pollution Inventory,Sulphur oxides (SO2 and SO3) as SO2,Air,g
Pollution Inventory,Sulphur oxides (SO2 and SO3) as SO2,Air,kg
Pollution Inventory,Sulphur oxides (SO2 and SO3) as SO2,Air,kt
Pollution Inventory,Sulphur oxides (SO2 and SO3) as SO2,Air,mg
Pollution Inventory,Sulphur oxides (SO2 and SO3) as SO2,Air,t
Pollution Inventory,Sulphur oxides (SO2 and SO3) as SO2,Controlled Water,g
Pollution Inventory,Sulphur oxides (SO2 and SO3) as SO2,Controlled Water,kg
Pollution Inventory,Sulphur oxides (SO2 and SO3) as SO2,Controlled Water,kt
Pollution Inventory,Technetium 99m,Waste Water,kt
Pollution Inventory,Sulphur oxides (SO2 and SO3) as SO2,Controlled Water,mg
Pollution Inventory,Sulphur oxides (SO2 and SO3) as SO2,Controlled Water,t
Pollution Inventory,Sulphur oxides (SO2 and SO3) as SO2,General,g
Pollution Inventory,Sulphur oxides (SO2 and SO3) as SO2,General,kg
Pollution Inventory,Sulphur oxides (SO2 and SO3) as SO2,General,kt
Pollution Inventory,Sulphur oxides (SO2 and SO3) as SO2,General,mg
Pollution Inventory,Sulphur oxides (SO2 and SO3) as SO2,General,t
Pollution Inventory,Sulphur oxides (SO2 and SO3) as SO2,Land,g
Pollution Inventory,Sulphur oxides (SO2 and SO3) as SO2,Land,kg
Pollution Inventory,Sulphur oxides (SO2 and SO3) as SO2,Land,kt
Pollution Inventory,Sulphur oxides (SO2 and SO3) as SO2,Land,mg
Pollution Inventory,Sulphur oxides (SO2 and SO3) as SO2,Land,t
Pollution Inventory,Sulphur oxides (SO2 and SO3) as SO2,Waste Overseas,g
Pollution Inventory,Sulphur oxides (SO2 and SO3) as SO2,Waste Overseas,kg
Pollution Inventory,Sulphur oxides (SO2 and SO3) as SO2,Waste Overseas,kt
Pollution Inventory,Sulphur oxides (SO2 and SO3) as SO2,Waste Overseas,mg
Pollution Inventory,Sulphur oxides (SO2 and SO3) as SO2,Waste Overseas,t
Pollution Inventory,Sulphur oxides (SO2 and SO3) as SO2,Waste Transfer,g
Pollution Inventory,Sulphur oxides (SO2 and SO3) as SO2,Waste Transfer,kg
Pollution Inventory,Sulphur oxides (SO2 and SO3) as SO2,Waste Transfer,kt
